"vehicle_id","year","color","make_name","model_name","kilometer","grade","remarks","net_book_value","purchase_price","sale_price","purchase_date","sale_date","min_bid_price","expected_sale_price","fleet_status"
"1","2022","Black     ","BMW","520i","22278.0","GRADE_0","No Painted","82677.37","187000.00","157554.78","2021-11-01 00:00:00","2023-09-26","149600.0","160000.0","SOLD"
"100","2022","Blue      ","MG","5","50585.0","GRADE_0","No Painted","26002.35","38300.00","29340.0","2022-01-23 00:00:00","2023-09-21","28495.2","28000.0","SOLD"
"1000","2022","White","NISSAN","Sunny SV 1.6 CVT","0.0","SALVAGE","TP Received-18000","29933.00","45050.00","23300.0","2021-11-07 00:00:00","2023-12-17","12000.0","12000.0","SOLD"
"1001","2020","White","TOYOTA","Coaster","138578.0","SALVAGE","TP Received-53080","105329.00","181140.00","72350.44","2020-09-06 00:00:00","2023-12-11","60000.0","60000.0","SOLD"
"1002","2021","White","TOYOTA","Corolla","0.0","SALVAGE","TP Received-32000","33107.00","58700.00","22800.0","2020-11-22 00:00:00","2023-12-19","15000.0","15000.0","SOLD"
"1003","2022","White","TOYOTA","Corolla","0.0","SALVAGE","TP Received-30057","46803.00","60900.00","28650.44","2022-03-28 00:00:00","2023-12-11","10000.0","10000.0","SOLD"
"1004","2018","White","TOYOTA","Hilux DC GL 4X2 Petrol","0.0","SALVAGE","TP Received-35057","14675.00","66500.00","32450.44","2017-11-29 00:00:00","2023-12-11","10000.0","10000.0","SOLD"
"1005","2020","White","TOYOTA","Yaris 1.3","0.0","SALVAGE","TP Received-24000","25384.00","41800.00","18250.44","2020-09-07 00:00:00","2023-12-11","8000.0","8000.0","SOLD"
"1009","2021","Black","CHEVROLET","Tahoe LS 4x4","62013.0","GRADE_0","No Painted-Auc 1366 @ 136563","88861.00","177770.00","124000.0","2021-03-22 00:00:00","2024-03-31","117759.0","125000.0","SOLD"
"1009","2021","Black","CHEVROLET","Tahoe LS 4x4","62013.0","GRADE_0","No Painted-Auc 1366 @ 136563","88861.00","177770.00","124000.0","2021-03-22 00:00:00","2024-03-31","117759.0","130000.0","SOLD"
"101","2019","White     ","NISSAN","Patrol Safari S","128729.0","GRADE_1","Windscreen Crack","44306.45","101350.00","71200.0","2020-01-27 00:00:00","2023-09-27","49474.8","60000.0","SOLD"
"1011","2021","Silver","FORD","Explorer 3.3L 4WD","60834.0","COMPLETE","Hailstorm Effect R.H.S Back Fender & Trunk","79873.00","127015.00","104554.78","2021-11-02 00:00:00","2023-12-16","68461.0","70000.0","SOLD"
"1013","2018","White","FORD","Figo","220956.0","COMPLETE","Complete Painted Without Roof.","10943.00","31000.00","10514.78","2019-06-11 00:00:00","2023-12-16","9920.0","12000.0","SOLD"
"1017","2018","Silver","HYUNDAI","Accent","261512.0","GRADE_2","Bonnet Painted. R.H.S Front Fender Painted.","13178.00","35400.00","24166.09","2018-12-11 00:00:00","2023-12-16","15180.0","20000.0","SOLD"
"102","2020","White","NISSAN","Patrol Safari S","50118.0","COMPLETE","Excluded twice - SFES Fully Painted","41501.00","97350.00","53999.13","2020-01-27 00:00:00","2023-12-10","46728.0","50000.0","SOLD"
"102","2020","White","NISSAN","Patrol Safari S","50118.0","COMPLETE","Excluded twice - SFES Fully Painted","41501.00","97350.00","53999.13","2020-01-27 00:00:00","2023-12-10","46728.0","65000.0","SOLD"
"1021","2020","Blue","HYUNDAI","Sonata GL","57992.0","COMPLETE","Complete Painted Without Roof & Trunk.","42962.00","69550.00","41185.22","2020-09-15 00:00:00","2023-12-16","36166.0","42000.0","SOLD"
"1024","2019","White","ISUZU","D-MAX Double Cab 4x4 Diesel","164786.0","GRADE_1","Spare Tire Missing","21143.00","76000.00","58554.78","2019-11-27 00:00:00","2023-12-16","39562.0","42000.0","SOLD"
